StateName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Carolina,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
North Dakota,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Ohio,$7.00,$7.30,$7.30,$7.40,$7.70,$7.85,$7.95,$8.10,$8.10,$8.15,$8.30
Oklahoma,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Oregon,$7.95,$8.40,$8.40,$8.50,$8.80,$8.95,$9.10,$9.25,$9.75,$10.25,$10.25
Pennsylvania,$7.15,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Puerto Rico,$6.55,$6.55,$6.55,$6.55,$6.55,$6.55,$6.55,$6.55,$6.55,$6.55,$6.55
Rhode Island,$7.40,$7.40,$7.40,$7.40,$7.40,$7.75,$8.00,$9.00,$9.00,$9.60,$10.10
South Carolina,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
South Dakota,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$8.50,$8.50,$8.65,$8.65
Tennessee,$5.58,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Texas,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Utah,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Vermont,$7.68,$8.06,$8.06,$8.15,$8.46,$8.60,$8.73,$9.15,$9.60,$10.00,$10.50
Virginia,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Washington,$8.07,$8.55,$8.55,$8.67,$9.04,$9.19,$9.32,$9.47,$9.47,$11.00,$11.50
West Virginia,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$8.00,$8.75,$8.75,$8.75
Wisconsin,$6.50,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Wyoming,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
